BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,CATEGORY,YTD,AMOUNT
L000563,2017 HON. DANIEL LIPINSKI,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,18763.38,16432.76
L000563,2017 HON. DANIEL LIPINSKI,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,22948.04,4587.6
L000563,2017 HON. DANIEL LIPINSKI,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9959.12,3195.75
L000563,2017 HON. DANIEL LIPINSKI,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2661.12,887.04
L000563,2017 HON. DANIEL LIPINSKI,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,800047.33,301822.73
L000563,2017 HON. DANIEL LIPINSKI,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,800047.33,301822.73
L000554,2017 HON. FRANK A. LOBIONDO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1089.5,627.79
L000554,2017 HON. FRANK A. LOBIONDO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,676772.71,226102.78
L000554,2017 HON. FRANK A. LOBIONDO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,18011.28,8260.71
L000554,2017 HON. FRANK A. LOBIONDO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,50330.04,18448.04
L000554,2017 HON. FRANK A. LOBIONDO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1780.74,558.58
L000554,2017 HON. FRANK A. LOBIONDO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,28421.72,9180
L000554,2017 HON. FRANK A. LOBIONDO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6543.9,1873.71
L000554,2017 HON. FRANK A. LOBIONDO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2205,735
L000554,2017 HON. FRANK A. LOBIONDO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,785154.89,265786.61
L000554,2017 HON. FRANK A. LOBIONDO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,785154.89,265786.61
L000565,2017 HON. DAVID LOEBSACK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1691.7,472.26
L000565,2017 HON. DAVID LOEBSACK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,772555.55,263891.66
L000565,2017 HON. DAVID LOEBSACK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,38646.96,18253.75
L000565,2017 HON. DAVID LOEBSACK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,56767.15,20205.7
L000565,2017 HON. DAVID LOEBSACK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,657.78,114.9
L000565,2017 HON. DAVID LOEBSACK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,19621.7,6574.01
L000565,2017 HON. DAVID LOEBSACK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4947.89,2318.66
L000565,2017 HON. DAVID LOEBSACK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3814.54,1303.77
L000565,2017 HON. DAVID LOEBSACK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,898703.27,313134.71
L000565,2017 HON. DAVID LOEBSACK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,898703.27,313134.71
L000397,2017 HON. ZOE LOFGREN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3176.68,691.82
L000397,2017 HON. ZOE LOFGREN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,796604.13,271247.44
L000397,2017 HON. ZOE LOFGREN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14795.66,6846.56
L000397,2017 HON. ZOE LOFGREN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,77905.25,29245.06
L000397,2017 HON. ZOE LOFGREN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,794.57,569.87
L000397,2017 HON. ZOE LOFGREN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,42448.5,17636.5
L000397,2017 HON. ZOE LOFGREN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7011.74,854.23
L000397,2017 HON. ZOE LOFGREN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3749.22,1249.74
L000397,2017 HON. ZOE LOFGREN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,946485.75,328341.22
L000397,2017 HON. ZOE LOFGREN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,946485.75,328341.22
L000576,2017 HON. BILLY LONG,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1171.6,554.29
L000576,2017 HON. BILLY LONG,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,765827.11,251102.77
L000576,2017 HON. BILLY LONG,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,22117.78,8085.86
L000576,2017 HON. BILLY LONG,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,57975.43,21013.16
L000576,2017 HON. BILLY LONG,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2908.63,1002.83
L000576,2017 HON. BILLY LONG,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,45133.32,13307.82
L000576,2017 HON. BILLY LONG,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8520.33,2709.79
L000576,2017 HON. BILLY LONG,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2768.49,587.79
L000576,2017 HON. BILLY LONG,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,906422.69,298364.31
L000576,2017 HON. BILLY LONG,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,906422.69,298364.31
L000583,2017 HON. BARRY LOUDERMILK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,502.59,330.15
L000583,2017 HON. BARRY LOUDERMILK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,630038.46,201680.54
L000583,2017 HON. BARRY LOUDERMILK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,37187.94,13234.48
L000583,2017 HON. BARRY LOUDERMILK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,77216.38,29498.36
L000583,2017 HON. BARRY LOUDERMILK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,8790.7,1986.14
L000583,2017 HON. BARRY LOUDERMILK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,38182.42,12769.78
L000583,2017 HON. BARRY LOUDERMILK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11969.31,5155.17
L000583,2017 HON. BARRY LOUDERMILK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,8236.14,2432.8
L000583,2017 HON. BARRY LOUDERMILK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,812123.94,267087.42
L000583,2017 HON. BARRY LOUDERMILK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,812123.94,267087.42
L000584,2017 HON. MIA B. LOVE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,13953.11,13506.8
L000584,2017 HON. MIA B. LOVE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,587942.27,192684.21
L000584,2017 HON. MIA B. LOVE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,54199.32,24712.8
L000584,2017 HON. MIA B. LOVE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,57593.39,15358.46
L000584,2017 HON. MIA B. LOVE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,10075.99,7928.3
L000584,2017 HON. MIA B. LOVE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,38812.82,18195.43
L000584,2017 HON. MIA B. LOVE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15659.42,12971.24
L000584,2017 HON. MIA B. LOVE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7767.44,6711.44
L000584,2017 HON. MIA B. LOVE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,786003.76,292068.68
L000584,2017 HON. MIA B. LOVE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,786003.76,292068.68
L000579,2017 HON. ALAN S. LOWENTHAL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,722.65,412.5
L000579,2017 HON. ALAN S. LOWENTHAL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,727046.92,255696.74
L000579,2017 HON. ALAN S. LOWENTHAL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24985.01,7846.58
L000579,2017 HON. ALAN S. LOWENTHAL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,77185.4,28847.22
L000579,2017 HON. ALAN S. LOWENTHAL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3171.12,2674
L000579,2017 HON. ALAN S. LOWENTHAL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,32815,11055
L000579,2017 HON. ALAN S. LOWENTHAL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15353.77,4011.77
L000579,2017 HON. ALAN S. LOWENTHAL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1765.92,480
L000579,2017 HON. ALAN S. LOWENTHAL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,883045.79,311023.81
L000579,2017 HON. ALAN S. LOWENTHAL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,883045.79,311023.81
L000480,2017 HON. NITA N. LOWEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2344.83,561.15
L000480,2017 HON. NITA N. LOWEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,626948.64,204981
L000480,2017 HON. NITA N. LOWEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,13968.59,4265.15
L000480,2017 HON. NITA N. LOWEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,105881.91,35439.49
L000480,2017 HON. NITA N. LOWEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,11374.06,5271.42
L000480,2017 HON. NITA N. LOWEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,38072.85,11362.85
L000480,2017 HON. NITA N. LOWEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12575.56,7456.41
L000480,2017 HON. NITA N. LOWEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2828,1675
L000480,2017 HON. NITA N. LOWEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,813994.44,271012.47
L000480,2017 HON. NITA N. LOWEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,813994.44,271012.47
L000491,2017 HON. FRANK D. LUCAS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,977.24,140.44
L000491,2017 HON. FRANK D. LUCAS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,709513.52,234911.01
L000491,2017 HON. FRANK D. LUCAS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,74377.65,27803.48
L000491,2017 HON. FRANK D. LUCAS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,72457.43,25056.74
L000491,2017 HON. FRANK D. LUCAS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1957.23,1391.32
L000491,2017 HON. FRANK D. LUCAS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,16320.16,5450
L000491,2017 HON. FRANK D. LUCAS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7359.59,2965.29
L000491,2017 HON. FRANK D. LUCAS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,923.57,300
L000491,2017 HON. FRANK D. LUCAS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,883886.39,298018.28
L000491,2017 HON. FRANK D. LUCAS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,883886.39,298018.28
L000569,2017 HON. BLAINE LUETKEMEYER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2895.91,897.03
L000569,2017 HON. BLAINE LUETKEMEYER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,707383.19,234155.52
L000569,2017 HON. BLAINE LUETKEMEYER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,23176.51,9480.83
L000569,2017 HON. BLAINE LUETKEMEYER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,55075.02,18546.76
L000569,2017 HON. BLAINE LUETKEMEYER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,7498.47,491.78
L000569,2017 HON. BLAINE LUETKEMEYER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,37125.16,11995.57
L000569,2017 HON. BLAINE LUETKEMEYER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7049.58,1561.75
L000569,2017 HON. BLAINE LUETKEMEYER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,414,138
L000569,2017 HON. BLAINE LUETKEMEYER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,840617.84,277267.24
L000569,2017 HON. BLAINE LUETKEMEYER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,840617.84,277267.24
G000480,2017 HON. MICHELLE LUJAN GRISHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,435.69,244.62
G000480,2017 HON. MICHELLE LUJAN GRISHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,730628.43,244700.04
G000480,2017 HON. MICHELLE LUJAN GRISHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,42702.41,16860.33
G000480,2017 HON. MICHELLE LUJAN GRISHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,55477.23,20452.31
G000480,2017 HON. MICHELLE LUJAN GRISHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5027.8,1806.36
G000480,2017 HON. MICHELLE LUJAN GRISHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,34434.71,13757.14
G000480,2017 HON. MICHELLE LUJAN GRISHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13303.94,2444.48
G000480,2017 HON. MICHELLE LUJAN GRISHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2730.91,900
G000480,2017 HON. MICHELLE LUJAN GRISHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,884741.12,301165.28
G000480,2017 HON. MICHELLE LUJAN GRISHAM,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,884741.12,301165.28
L000570,2017 HON. BEN RAY LUJAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,849.97,249.19
L000570,2017 HON. BEN RAY LUJAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,763454.31,255676.87
L000570,2017 HON. BEN RAY LUJAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,44629.16,24292.64
L000570,2017 HON. BEN RAY LUJAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,44212.86,14544.59
L000570,2017 HON. BEN RAY LUJAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,969.19,217.1
L000570,2017 HON. BEN RAY LUJAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,35446.63,12290
L000570,2017 HON. BEN RAY LUJAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4881.18,2953.63
L000570,2017 HON. BEN RAY LUJAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3275.67,1517.67
L000570,2017 HON. BEN RAY LUJAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,897718.97,311741.69
L000570,2017 HON. BEN RAY LUJAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,897718.97,311741.69
L000562,2017 HON. STEPHEN F. LYNCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,503.41,378.16
L000562,2017 HON. STEPHEN F. LYNCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,720083.5,240117.04
L000562,2017 HON. STEPHEN F. LYNCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,6194.84,2967.13
L000562,2017 HON. STEPHEN F. LYNCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,118911.45,34890.3
L000562,2017 HON. STEPHEN F. LYNCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2480.1,870.2
L000562,2017 HON. STEPHEN F. LYNCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31539,10425
L000562,2017 HON. STEPHEN F. LYNCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10103.17,3202.04
L000562,2017 HON. STEPHEN F. LYNCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1324.95,352.5
L000562,2017 HON. STEPHEN F. LYNCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,891140.42,293202.37
L000562,2017 HON. STEPHEN F. LYNCH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,891140.42,293202.37
M001193,2017 HON. THOMAS MACARTHUR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,31163.31,660.52
M001193,2017 HON. THOMAS MACARTHUR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,638857.07,233009.43
M001193,2017 HON. THOMAS MACARTHUR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,27492.63,8613.42
M001193,2017 HON. THOMAS MACARTHUR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,34219.73,8000.69
M001193,2017 HON. THOMAS MACARTHUR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,30255.31,1157.25
M001193,2017 HON. THOMAS MACARTHUR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,38108.84,17778.21
M001193,2017 HON. THOMAS MACARTHUR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4742.25,1037.84
M001193,2017 HON. THOMAS MACARTHUR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3892.89,1280.01
M001193,2017 HON. THOMAS MACARTHUR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,808732.03,271537.37
M001193,2017 HON. THOMAS MACARTHUR,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,808732.03,271537.37
M000087,2017 HON. CAROLYN B. MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1496.59,720.13
M000087,2017 HON. CAROLYN B. MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,816863.22,280236.41
M000087,2017 HON. CAROLYN B. MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24811.56,9090.86
M000087,2017 HON. CAROLYN B. MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,115773.1,35737.08
M000087,2017 HON. CAROLYN B. MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,4642.6,3151.1
M000087,2017 HON. CAROLYN B. MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,26214.66,8628.56
M000087,2017 HON. CAROLYN B. MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,17019.78,5424.78
M000087,2017 HON. CAROLYN B. MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2489.67,1469.67
M000087,2017 HON. CAROLYN B. MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1009311.18,344458.59
M000087,2017 HON. CAROLYN B. MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1009311.18,344458.59
M001185,2017 HON. SEAN PATRICK MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3025.14,447.48
M001185,2017 HON. SEAN PATRICK MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,725758.81,233804.42
M001185,2017 HON. SEAN PATRICK MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,26869.59,14369.54
M001185,2017 HON. SEAN PATRICK MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,69378.82,22079.84
M001185,2017 HON. SEAN PATRICK MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6472.87,2971.67
M001185,2017 HON. SEAN PATRICK MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,36435.78,12102.82
M001185,2017 HON. SEAN PATRICK MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,19548.84,10890.48
M001185,2017 HON. SEAN PATRICK MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,887489.85,296666.25
M001185,2017 HON. SEAN PATRICK MALONEY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,887489.85,296666.25
M001158,2017 HON. KENNY MARCHANT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,764.23,523.11
M001158,2017 HON. KENNY MARCHANT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,639536.22,221370
M001158,2017 HON. KENNY MARCHANT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,35029.42,11857.24
M001158,2017 HON. KENNY MARCHANT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,70120.07,23671.07
M001158,2017 HON. KENNY MARCHANT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2312.66,970.39
M001158,2017 HON. KENNY MARCHANT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,44064.88,13380.09
M001158,2017 HON. KENNY MARCHANT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,17387.09,3197.3
M001158,2017 HON. KENNY MARCHANT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3852,1284
M001158,2017 HON. KENNY MARCHANT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,813066.57,276253.2
M001158,2017 HON. KENNY MARCHANT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,813066.57,276253.2
M001179,2017 HON. TOM MARINO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1565.81,573.28
M001179,2017 HON. TOM MARINO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,591515.41,192250.04
M001179,2017 HON. TOM MARINO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,15005.49,8109.33
M001179,2017 HON. TOM MARINO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,63217.35,19938.79
M001179,2017 HON. TOM MARINO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,982.59,179.85
M001179,2017 HON. TOM MARINO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,37842,10230
M001179,2017 HON. TOM MARINO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3680.17,2130.84
M001179,2017 HON. TOM MARINO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1370.97,456.99
M001179,2017 HON. TOM MARINO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,715179.79,233869.12
